2016-09-25 18:04:31,675 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-09-25 18:12:37,804 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-09-25 18:16:00,829 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-09-25 18:30:26,222 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-09-25 18:38:25,602 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-09-25 20:26:23,661 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-09-25 20:38:36,641 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-09-25 21:21:12,674 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-09-25 21:25:11,107 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-09-27 21:23:48,229 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-09-29 22:21:39,106 [Worker-398] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.wbu.bo:BackOffice:0.0.1-SNAPSHOT @ D:\DMI Project & documents\WildBird\AutomationMobile\BackOffice\pom.xml.
2016-09-29 22:21:40,962 [Worker-398] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /BackOffice/src/main/java
2016-09-29 22:21:40,968 [Worker-398] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /BackOffice/src/main/resources
2016-09-29 22:21:40,969 [Worker-398] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /BackOffice/src/test/java
2016-09-29 22:21:40,970 [Worker-398] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /BackOffice/src/test/resources
2016-09-29 22:21:42,909 [Worker-396] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:21:42,981 [Worker-396] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:21:42,989 [Worker-396] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:21:42,994 [Worker-396] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:22:28,811 [Worker-400] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:22:28,832 [Worker-400] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:22:28,835 [Worker-400] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:22:28,839 [Worker-400] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:51:25,881 [Worker-405] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:51:25,887 [Worker-405] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:51:25,891 [Worker-405] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:51:25,894 [Worker-405] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:58:01,289 [Worker-406] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:58:01,291 [Worker-406] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:58:01,292 [Worker-406] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:58:01,294 [Worker-406] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:58:08,091 [Worker-408] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:58:08,093 [Worker-408] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:58:08,096 [Worker-408] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:58:08,098 [Worker-408] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:58:37,182 [Worker-407] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:58:37,184 [Worker-407] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:58:37,186 [Worker-407] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:58:37,189 [Worker-407] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:59:11,543 [Worker-406] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:59:11,546 [Worker-406] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:59:11,551 [Worker-406] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:59:11,556 [Worker-406] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:59:20,103 [Worker-406] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:59:20,105 [Worker-406] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 22:59:20,107 [Worker-406] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-09-29 22:59:20,109 [Worker-406] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-09-29 23:01:33,309 [Worker-405] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.wbu.bo:BackOffice:0.0.1-SNAPSHOT @ D:\DMI Project & documents\WildBird\AutomationMobile\BackOffice\pom.xml.
2016-09-29 23:01:35,794 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/info/cukes/cucumber-core/1.2.5/cucumber-core-1.2.5.pom
2016-09-29 23:01:36,192 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/info/cukes/cucumber-core/1.2.5/cucumber-core-1.2.5.pom
2016-09-29 23:01:36,488 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/info/cukes/cucumber-jvm/1.2.5/cucumber-jvm-1.2.5.pom
2016-09-29 23:01:37,096 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/info/cukes/cucumber-jvm/1.2.5/cucumber-jvm-1.2.5.pom
2016-09-29 23:01:37,505 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/info/cukes/cucumber-html/0.2.3/cucumber-html-0.2.3.pom
2016-09-29 23:01:37,850 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/info/cukes/cucumber-html/0.2.3/cucumber-html-0.2.3.pom
2016-09-29 23:01:38,168 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/sonatype/oss/oss-parent/6/oss-parent-6.pom
2016-09-29 23:01:38,495 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/sonatype/oss/oss-parent/6/oss-parent-6.pom
2016-09-29 23:01:38,798 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/info/cukes/cucumber-jvm-deps/1.0.5/cucumber-jvm-deps-1.0.5.pom
2016-09-29 23:01:39,223 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/info/cukes/cucumber-jvm-deps/1.0.5/cucumber-jvm-deps-1.0.5.pom
2016-09-29 23:01:39,522 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/info/cukes/gherkin/2.12.2/gherkin-2.12.2.pom
2016-09-29 23:01:40,231 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/info/cukes/gherkin/2.12.2/gherkin-2.12.2.pom
2016-09-29 23:01:40,547 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/info/cukes/cucumber-java/1.2.5/cucumber-java-1.2.5.pom
2016-09-29 23:01:41,061 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/info/cukes/cucumber-java/1.2.5/cucumber-java-1.2.5.pom
2016-09-29 23:01:41,362 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/info/cukes/cucumber-junit/1.2.5/cucumber-junit-1.2.5.pom
2016-09-29 23:01:41,691 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/info/cukes/cucumber-junit/1.2.5/cucumber-junit-1.2.5.pom
2016-09-29 23:01:42,095 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/junit/junit-dep/4.11/junit-dep-4.11.pom
2016-09-29 23:01:42,374 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/junit/junit-dep/4.11/junit-dep-4.11.pom
2016-09-29 23:01:42,674 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/junit/junit/4.11/junit-4.11.pom
2016-09-29 23:01:42,966 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/junit/junit/4.11/junit-4.11.pom
2016-09-29 23:01:44,384 [Worker-405] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact junit:junit-dep:jar:4.11 has been relocated to junit:junit:jar:4.11
2016-09-29 23:01:44,696 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/info/cukes/cucumber-core/1.2.5/cucumber-core-1.2.5.jar
2016-09-29 23:01:45,902 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/info/cukes/cucumber-core/1.2.5/cucumber-core-1.2.5.jar
2016-09-29 23:01:46,177 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/info/cukes/cucumber-html/0.2.3/cucumber-html-0.2.3.jar
2016-09-29 23:01:46,481 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/info/cukes/cucumber-html/0.2.3/cucumber-html-0.2.3.jar
2016-09-29 23:01:46,758 [Worker-405] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/info/cukes/cucumber-java/1.2.5/cucumber-java-1.2.5.jar
